city,number,latitude,longitude,id_list,Distance to center [km],fetched_url,name,idname
Köln,5,50.914497,6.9818854,100021727,3.0659,https://data.eco-counter.com/public2/?id=100021727,,
Köln,6,50.9182,6.960489,100023269,2.2421,https://data.eco-counter.com/public2/?id=100023269,,
Köln,7,50.945816,6.9266076,100023270,2.4804,https://data.eco-counter.com/public2/?id=100023270,,
Köln,8,50.94118,6.9701,100029854,0.7757,https://data.eco-counter.com/public2/?id=100029854,,
Köln,9,50.93637257134968,6.947836756773378,100030418,0.8787,https://data.eco-counter.com/public2/?id=100030418,,
Köln,10,50.93649,6.96658,100044729,0.5075,https://data.eco-counter.com/public2/?id=100044729,,
Köln,11,50.92054907885211,6.94476961008295,100045094,2.249,https://data.eco-counter.com/public2/?id=100045094,,
Köln,12,50.92719493078395,6.933329933685668,100057124,2.2423,https://data.eco-counter.com/public2/?id=100057124,,
Köln,13,50.93311976074636,6.925021246105153,100059340,2.5177,https://data.eco-counter.com/public2/?id=100059340,,
Köln,14,50.90295502231652,6.993484497070313,300014336,4.5845,https://data.eco-counter.com/public2/?id=300014336,,
Köln,15,50.93071097591193,6.967520713806153,300016603,1.0016,https://data.eco-counter.com/public2/?id=300016603,,
Rostock,2,54.09034,12.13605,100005394,0.5385,https://data.eco-counter.com/public2/?id=100005394,,
Rostock,1,54.10295,12.07408,100005392,3.7428,https://data.eco-counter.com/public2/?id=100005392,,
Rostock,2,54.102818,12.0749855,100005393,3.6821,https://data.eco-counter.com/public2/?id=100005393,,
Rostock,3,54.089867988164045,12.136024832725528,100005394,0.5619,https://data.eco-counter.com/public2/?id=100005394,,
Rostock,4,54.09152282594652,12.149421548069586,100005395,1.3609,https://data.eco-counter.com/public2/?id=100005395,,
Rostock,5,54.083782,12.153115,100011605,1.8659,https://data.eco-counter.com/public2/?id=100011605,,
Rostock,6,54.17664,12.05835,100017341,10.4212,https://data.eco-counter.com/public2/?id=100017341,,
Rostock,7,54.081974,12.114006,100034893,1.5044,https://data.eco-counter.com/public2/?id=100034893,,
Rostock,8,54.190883411358165,12.182190114021315,100037010,11.4888,https://data.eco-counter.com/public2/?id=100037010,,
Rostock,9,54.1910343394493,12.18094563857718,100037011,11.4804,https://data.eco-counter.com/public2/?id=100037011,,
Rostock,10,54.1910466208228,12.1817400393486,100037012,11.4972,https://data.eco-counter.com/public2/?id=100037012,,
Rostock,11,54.184589136171645,12.23723795588213,100041597,12.4519,https://data.eco-counter.com/public2/?id=100041597,,
Rostock,12,54.07839,12.10193,100056900,2.3391,https://data.eco-counter.com/public2/?id=100056900,,
Stuttgart,1,48.79912609299229,9.210372161982695,100034882,3.1989,https://data.eco-counter.com/public2/?id=100034882,,
Stuttgart,2,48.74661091153218,9.13566226791684,100034894,4.8063,https://data.eco-counter.com/public2/?id=100034894,,
Stuttgart,3,48.80490968434408,9.226946272791574,100042486,4.5252,https://data.eco-counter.com/public2/?id=100042486,,
Stuttgart,4,48.80513535517377,9.225987627445804,100042487,4.4887,https://data.eco-counter.com/public2/?id=100042487,,
Stuttgart,5,48.80811,9.18551,100060100,3.3227,https://data.eco-counter.com/public2/?id=100060100,,
Stuttgart,6,48.716494,9.08652,100061257,9.7184,https://data.eco-counter.com/public2/?id=100061257,,
Stuttgart,7,48.739821,9.152228,100061633,4.7536,https://data.eco-counter.com/public2/?id=100061633,,
Stuttgart,8,48.740003,9.226692,100061648,5.4757,https://data.eco-counter.com/public2/?id=100061648,,
Stuttgart,9,48.8115094776975,9.167497239565906,100062943,3.7888,https://data.eco-counter.com/public2/?id=100062943,,
Stuttgart,10,48.809354,9.105381,100062945,6.4573,https://data.eco-counter.com/public2/?id=100062945,,
Stuttgart,11,48.78424,9.147031,100063203,2.5009,https://data.eco-counter.com/public2/?id=100063203,,
Stuttgart,12,48.779637,9.248607,100063204,5.0278,https://data.eco-counter.com/public2/?id=100063204,,
Stuttgart,13,48.826,9.21488,100063205,5.8718,https://data.eco-counter.com/public2/?id=100063205,,
Stuttgart,14,48.78027,9.17741,100063206,0.2782,https://data.eco-counter.com/public2/?id=100063206,,
Stuttgart,15,48.76976122395633,9.172275119691044,100063225,1.1201,https://data.eco-counter.com/public2/?id=100063225,,
Osnabrück,1,52.2799654,8.055056078,100050631,1.0234,https://data.eco-counter.com/public2/?id=100050631,,
Ludwigsburg,1,48.89318854,9.192943239,100041999,0.3506,https://data.eco-counter.com/public2/?id=100041999,,
